Date,Price,Regime
2023-01-01,100.0,1
2023-01-02,98.33217982292962,1
2023-01-03,98.80255502749164,1
2023-01-04,99.21610491690484,1
2023-01-05,100.71999577466734,1
2023-01-06,99.84240512660067,1
2023-01-07,99.05589187687258,1
2023-01-08,95.17406628900646,1
2023-01-09,96.53082449627904,1
2023-01-10,95.91102990381926,1
2023-01-11,94.84295483848321,1
2023-01-12,93.94743585911979,1
2023-01-13,94.78975043752412,1
2023-01-14,94.96352730007622,1
2023-01-15,94.22931347154798,1
2023-01-16,93.38089084848598,1
2023-01-17,94.70798246620595,1
2023-01-18,93.25674525608119,1
2023-01-19,93.0304735431351,1
2023-01-20,92.71028527751498,1
2023-01-21,93.25173500982197,1
2023-01-22,97.13797268269967,1
2023-01-23,98.87718882665449,1
2023-01-24,99.20146395757247,1
2023-01-25,100.51354374643925,1
2023-01-26,98.99214259012982,1
2023-01-27,96.64113729190125,1
2023-01-28,94.68896974847483,1
2023-01-29,93.43823555220224,1
2023-01-30,94.2541234543928,1
2023-01-31,95.50923274799719,1
2023-02-01,95.21243891976553,1
2023-02-02,94.32199686894764,1
2023-02-03,92.18821642112877,1
2023-02-04,93.70883382198613,1
2023-02-05,95.36708146552571,1
2023-02-06,94.08218941949994,1
2023-02-07,92.61756981408675,1
2023-02-08,92.51225843437699,1
2023-02-09,94.58744843549262,1
2023-02-10,95.06726396151414,1
2023-02-11,94.49880204578263,1
2023-02-12,94.41252829547302,1
2023-02-13,92.40331102823338,1
2023-02-14,93.84825618565348,1
2023-02-15,93.0959454018408,1
2023-02-16,91.00819359888865,1
2023-02-17,90.71856718276845,1
2023-02-18,90.13769330221365,1
2023-02-19,90.815684240922,1
2023-02-20,92.39340694139287,1
2023-02-21,94.29467218698115,1
2023-02-22,94.54297829155338,1
2023-02-23,94.17903956468449,1
2023-02-24,93.65941746329436,1
2023-02-25,89.92918383513506,1
2023-02-26,90.39526603554972,1
2023-02-27,91.00941553156214,1
2023-02-28,90.78271893838708,1
2023-03-01,89.49852002059684,1
2023-03-02,91.38330345979669,1
2023-03-03,91.35787495282504,1
2023-03-04,89.06455756299368,1
2023-03-05,89.20129082895195,1
2023-03-06,88.62245123520995,1
2023-03-07,89.25754732590198,1
2023-03-08,88.91074340315379,1
2023-03-09,89.36394942140096,1
2023-03-10,89.35405663120542,1
2023-03-11,88.31486523640699,1
2023-03-12,89.33906269385628,1
2023-03-13,91.22215856765014,1
2023-03-14,93.12732297759305,1
2023-03-15,92.43804228552628,1
2023-03-16,93.71807244892123,1
2023-03-17,96.11716834927911,1
2023-03-18,97.37667246324074,1
2023-03-19,98.32476105569263,1
2023-03-20,96.52117983126868,1
2023-03-21,97.4196205204709,1
2023-03-22,97.18444364774751,1
2023-03-23,96.66439264494676,1
2023-03-24,97.47075028332529,1
2023-03-25,99.46483592586907,1
2023-03-26,103.25319697031125,1
2023-03-27,101.02286372166463,1
2023-03-28,102.82722388152523,1
2023-03-29,103.77987828402146,1
